system:index,KLC_ID,PA,Year,bare-coverfraction,crops-coverfraction,grass-coverfraction,moss-coverfraction,shrub-coverfraction,snow-coverfraction,tree-coverfraction,urban-coverfraction,water-permanent-coverfraction,water-seasonal-coverfraction,.geo
15,SAF_01,true,2015.0,1724.1763691888973,8541.703703364023,107949.84714562129,1.118680173340716,100784.2393477151,0.0,65284.05330687276,323.42901856810215,3176.746071564183,1723.2039612872215,
16,SAF_01,true,2016.0,1928.7634956700124,9565.588613362585,108048.49573297665,0.03704521305189701,97155.92518623793,0.0,67775.43499723113,331.53191261097805,2976.756750248401,2434.6799131055513,
17,SAF_01,true,2017.0,2541.5959469926006,12267.306192688538,107151.07040271605,1.3350082545469322,91409.40520877118,0.0,70748.06848155441,340.2251246556116,3326.4208312898313,2695.119713172121,
18,SAF_01,true,2018.0,1798.9298838899872,11440.135175204861,107989.42395259836,1.380267720805611,90422.47879681297,0.0,72423.56333137456,336.8155623345783,3372.6740822401284,3071.085142690573,
19,SAF_01,true,2019.0,2704.5401262401856,14670.827668680093,107072.89990651538,1.4246767927924178,88762.13013778786,0.0,71298.55076917692,338.04634997826133,2937.0075617513457,1106.0849066068527,
20,SAF_03,false,2015.0,2849.175789197937,11.969499950984712,23582.174823227826,0.0,7493.692591370093,0.0,1568.229908050941,5.226662993112289,0.0,0.006736010887834709,
21,SAF_03,false,2016.0,3267.254830642562,11.927476882191366,22745.950403060993,0.0,7827.711936932997,0.0,1652.5880139222982,5.036613349842624,0.0,0.009931450425938237,
22,SAF_03,false,2017.0,3114.6922415932363,40.10388352390343,23223.461390789424,0.0,7678.275559280678,0.0,1448.1145722368512,5.821627366801868,0.0,0.007704339855990838,
23,SAF_03,false,2018.0,4128.9723478215055,21.851569992689047,22552.232168736176,0.0,7524.930019923794,0.0,1276.6515422635782,5.831626053130329,0.0,0.014767080661840737,
24,SAF_03,false,2019.0,7939.846438898905,40.05112219916565,16990.79683758018,0.0,9180.001549762066,0.0,1353.9622627697,5.8110635808719815,0.0,0.006251846403756645,
25,SAF_03,true,2015.0,2843.819932048735,11.946701835908392,23531.53684185891,0.0,7476.078279994018,0.0,1564.0447054799506,4.760996992009043,0.0,0.006736010887834709,
26,SAF_03,true,2016.0,3261.5796850164666,11.902716028916606,22695.82737039223,0.0,7810.062565804408,0.0,1648.2441880106153,4.570932956883517,0.0,0.009931450425938237,
