area_km2,klc_id,klc_name,year,pa,area_loss
8006.353896418507,WAF_19,Hadeja-Nguru,2019,inside,0
8006.353896418507,WAF_19,Hadeja-Nguru,2019,outside,0
8006.353896418507,WAF_19,Hadeja-Nguru,2020,total,0
8006.353896418507,WAF_19,Hadeja-Nguru,2020,inside,0
8006.353896418507,WAF_19,Hadeja-Nguru,2020,outside,0
5808.061422472043,WAF_15,Saloum,2001,total,0
5808.061422472043,WAF_15,Saloum,2001,inside,0
5808.061422472043,WAF_15,Saloum,2001,outside,0
5808.061422472043,WAF_15,Saloum,2002,total,0
5808.061422472043,WAF_15,Saloum,2002,inside,0
5808.061422472043,WAF_15,Saloum,2002,outside,0
5808.061422472043,WAF_15,Saloum,2003,total,0
5808.061422472043,WAF_15,Saloum,2003,inside,0
5808.061422472043,WAF_15,Saloum,2003,outside,0
5808.061422472043,WAF_15,Saloum,2004,total,0.004349679809570312
5808.061422472043,WAF_15,Saloum,2004,inside,0
5808.061422472043,WAF_15,Saloum,2004,outside,0.004349679809570312
5808.061422472043,WAF_15,Saloum,2005,total,0
5808.061422472043,WAF_15,Saloum,2005,inside,0
5808.061422472043,WAF_15,Saloum,2005,outside,0
5808.061422472043,WAF_15,Saloum,2006,total,0
5808.061422472043,WAF_15,Saloum,2006,inside,0
5808.061422472043,WAF_15,Saloum,2006,outside,0
5808.061422472043,WAF_15,Saloum,2007,total,0
5808.061422472043,WAF_15,Saloum,2007,inside,0
5808.061422472043,WAF_15,Saloum,2007,outside,0
5808.061422472043,WAF_15,Saloum,2008,total,0.004349622314453125
5808.061422472043,WAF_15,Saloum,2008,inside,0.004349622314453125
5808.061422472043,WAF_15,Saloum,2008,outside,0
5808.061422472043,WAF_15,Saloum,2009,total,0
5808.061422472043,WAF_15,Saloum,2009,inside,0
5808.061422472043,WAF_15,Saloum,2009,outside,0
5808.061422472043,WAF_15,Saloum,2010,total,0
5808.061422472043,WAF_15,Saloum,2010,inside,0
5808.061422472043,WAF_15,Saloum,2010,outside,0
5808.061422472043,WAF_15,Saloum,2011,total,0
5808.061422472043,WAF_15,Saloum,2011,inside,0
5808.061422472043,WAF_15,Saloum,2011,outside,0
5808.061422472043,WAF_15,Saloum,2012,total,0
5808.061422472043,WAF_15,Saloum,2012,inside,0
5808.061422472043,WAF_15,Saloum,2012,outside,0
5808.061422472043,WAF_15,Saloum,2013,total,0
5808.061422472043,WAF_15,Saloum,2013,inside,0
5808.061422472043,WAF_15,Saloum,2013,outside,0
5808.061422472043,WAF_15,Saloum,2014,total,8.685396728515625e-4
5808.061422472043,WAF_15,Saloum,2014,inside,8.685396728515625e-4
5808.061422472043,WAF_15,Saloum,2014,outside,0
5808.061422472043,WAF_15,Saloum,2015,total,0
5808.061422472043,WAF_15,Saloum,2015,inside,0
5808.061422472043,WAF_15,Saloum,2015,outside,0
5808.061422472043,WAF_15,Saloum,2016,total,0
5808.061422472043,WAF_15,Saloum,2016,inside,0
5808.061422472043,WAF_15,Saloum,2016,outside,0
5808.061422472043,WAF_15,Saloum,2017,total,0
5808.061422472043,WAF_15,Saloum,2017,inside,0
5808.061422472043,WAF_15,Saloum,2017,outside,0
5808.061422472043,WAF_15,Saloum,2018,total,0
5808.061422472043,WAF_15,Saloum,2018,inside,0
5808.061422472043,WAF_15,Saloum,2018,outside,0
5808.061422472043,WAF_15,Saloum,2019,total,0
5808.061422472043,WAF_15,Saloum,2019,inside,0
5808.061422472043,WAF_15,Saloum,2019,outside,0
5808.061422472043,WAF_15,Saloum,2020,total,0
5808.061422472043,WAF_15,Saloum,2020,inside,0
5808.061422472043,WAF_15,Saloum,2020,outside,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2001,total,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2001,inside,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2001,outside,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2002,total,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2002,inside,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2002,outside,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2003,total,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2003,inside,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2003,outside,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2004,total,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2004,inside,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2004,outside,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2005,total,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2005,inside,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2005,outside,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2006,total,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2006,inside,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2006,outside,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2007,total,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2007,inside,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2007,outside,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2008,total,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2008,inside,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2008,outside,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2009,total,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2009,inside,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2009,outside,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2010,total,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2010,inside,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2010,outside,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2011,total,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2011,inside,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2011,outside,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2012,total,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2012,inside,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2012,outside,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2013,total,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2013,inside,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2013,outside,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2014,total,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2014,inside,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2014,outside,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2015,total,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2015,inside,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2015,outside,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2016,total,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2016,inside,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2016,outside,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2017,total,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2017,inside,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2017,outside,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2018,total,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2018,inside,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2018,outside,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2019,total,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2019,inside,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2019,outside,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2020,total,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2020,inside,0
5921.240388361028,SAF_06,Ais-Ais - Richtersveld,2020,outside,0
10442.04711556637,CAF_14,Itombwe-Kabobo,2001,total,15.349743656002753
10442.04711556637,CAF_14,Itombwe-Kabobo,2001,inside,8.740693409917377
10442.04711556637,CAF_14,Itombwe-Kabobo,2001,outside,6.609050246085376
10442.04711556637,CAF_14,Itombwe-Kabobo,2002,total,14.94868379127819
10442.04711556637,CAF_14,Itombwe-Kabobo,2002,inside,7.552682477759989
10442.04711556637,CAF_14,Itombwe-Kabobo,2002,outside,7.396001313518202
10442.04711556637,CAF_14,Itombwe-Kabobo,2003,total,12.01622177952881
10442.04711556637,CAF_14,Itombwe-Kabobo,2003,inside,5.014714579122865
10442.04711556637,CAF_14,Itombwe-Kabobo,2003,outside,7.001507200405944
10442.04711556637,CAF_14,Itombwe-Kabobo,2004,total,13.352691631797889
10442.04711556637,CAF_14,Itombwe-Kabobo,2004,inside,7.767867939265962
10442.04711556637,CAF_14,Itombwe-Kabobo,2004,outside,5.584823692531927
10442.04711556637,CAF_14,Itombwe-Kabobo,2005,total,15.317911356193505
10442.04711556637,CAF_14,Itombwe-Kabobo,2005,inside,8.595774780035038
10442.04711556637,CAF_14,Itombwe-Kabobo,2005,outside,6.7221365761584675
10442.04711556637,CAF_14,Itombwe-Kabobo,2006,total,4.648258142591291
10442.04711556637,CAF_14,Itombwe-Kabobo,2006,inside,2.913981457570994
10442.04711556637,CAF_14,Itombwe-Kabobo,2006,outside,1.7342766850202969
10442.04711556637,CAF_14,Itombwe-Kabobo,2007,total,24.058340353689164
10442.04711556637,CAF_14,Itombwe-Kabobo,2007,inside,9.94763332895771
10442.04711556637,CAF_14,Itombwe-Kabobo,2007,outside,14.110707024731454
10442.04711556637,CAF_14,Itombwe-Kabobo,2008,total,11.897030926507927
10442.04711556637,CAF_14,Itombwe-Kabobo,2008,inside,5.530519183748611
10442.04711556637,CAF_14,Itombwe-Kabobo,2008,outside,6.366511742759316
10442.04711556637,CAF_14,Itombwe-Kabobo,2009,total,12.4297791962675
10442.04711556637,CAF_14,Itombwe-Kabobo,2009,inside,6.911086862986114
10442.04711556637,CAF_14,Itombwe-Kabobo,2009,outside,5.518692333281386
10442.04711556637,CAF_14,Itombwe-Kabobo,2010,total,14.637338140055807
10442.04711556637,CAF_14,Itombwe-Kabobo,2010,inside,6.658225480270321
10442.04711556637,CAF_14,Itombwe-Kabobo,2010,outside,7.979112659785486
10442.04711556637,CAF_14,Itombwe-Kabobo,2011,total,12.247106417327515
10442.04711556637,CAF_14,Itombwe-Kabobo,2011,inside,4.136104060355871
10442.04711556637,CAF_14,Itombwe-Kabobo,2011,outside,8.111002356971644
10442.04711556637,CAF_14,Itombwe-Kabobo,2012,total,11.59830244874434
10442.04711556637,CAF_14,Itombwe-Kabobo,2012,inside,4.445767223524862
10442.04711556637,CAF_14,Itombwe-Kabobo,2012,outside,7.152535225219478
10442.04711556637,CAF_14,Itombwe-Kabobo,2013,total,36.05818159039199
10442.04711556637,CAF_14,Itombwe-Kabobo,2013,inside,16.814994778677796
10442.04711556637,CAF_14,Itombwe-Kabobo,2013,outside,19.243186811714192
10442.04711556637,CAF_14,Itombwe-Kabobo,2014,total,50.75252475491369
10442.04711556637,CAF_14,Itombwe-Kabobo,2014,inside,23.975591136670783
10442.04711556637,CAF_14,Itombwe-Kabobo,2014,outside,26.77693361824291
10442.04711556637,CAF_14,Itombwe-Kabobo,2015,total,56.77591040624783
10442.04711556637,CAF_14,Itombwe-Kabobo,2015,inside,27.99018317481334
10442.04711556637,CAF_14,Itombwe-Kabobo,2015,outside,28.785727231434493
10442.04711556637,CAF_14,Itombwe-Kabobo,2016,total,60.18964895136557
10442.04711556637,CAF_14,Itombwe-Kabobo,2016,inside,29.877774072500088
10442.04711556637,CAF_14,Itombwe-Kabobo,2016,outside,30.31187487886548
10442.04711556637,CAF_14,Itombwe-Kabobo,2017,total,47.725866027529584
10442.04711556637,CAF_14,Itombwe-Kabobo,2017,inside,22.277392248144636
10442.04711556637,CAF_14,Itombwe-Kabobo,2017,outside,25.448473779384948
10442.04711556637,CAF_14,Itombwe-Kabobo,2018,total,57.23682291654283
10442.04711556637,CAF_14,Itombwe-Kabobo,2018,inside,31.07437666282511
10442.04711556637,CAF_14,Itombwe-Kabobo,2018,outside,26.162446253717718
10442.04711556637,CAF_14,Itombwe-Kabobo,2019,total,46.83382094961087
10442.04711556637,CAF_14,Itombwe-Kabobo,2019,inside,26.47310599336036
10442.04711556637,CAF_14,Itombwe-Kabobo,2019,outside,20.360714956250508
10442.04711556637,CAF_14,Itombwe-Kabobo,2020,total,50.49630028535601
10442.04711556637,CAF_14,Itombwe-Kabobo,2020,inside,30.054568493661996
10442.04711556637,CAF_14,Itombwe-Kabobo,2020,outside,20.44173179169401
7924.800353898284,CAF_12,Lomako-Yokokala,2001,total,3.0226062904203523
7924.800353898284,CAF_12,Lomako-Yokokala,2001,inside,0.8306189911843685
7924.800353898284,CAF_12,Lomako-Yokokala,2001,outside,2.1919872992359837
7924.800353898284,CAF_12,Lomako-Yokokala,2002,total,2.771095803294223
7924.800353898284,CAF_12,Lomako-Yokokala,2002,inside,1.0630997854975688
7924.800353898284,CAF_12,Lomako-Yokokala,2002,outside,1.7079960177966542
7924.800353898284,CAF_12,Lomako-Yokokala,2003,total,1.6827777440616392
7924.800353898284,CAF_12,Lomako-Yokokala,2003,inside,0.44364664707749324
7924.800353898284,CAF_12,Lomako-Yokokala,2003,outside,1.239131096984146
7924.800353898284,CAF_12,Lomako-Yokokala,2004,total,1.2383796828134574
7924.800353898284,CAF_12,Lomako-Yokokala,2004,inside,0.30659739959716803
7924.800353898284,CAF_12,Lomako-Yokokala,2004,outside,0.9317822832162894
7924.800353898284,CAF_12,Lomako-Yokokala,2005,total,0.7466158290398095
7924.800353898284,CAF_12,Lomako-Yokokala,2005,inside,0.1371190758789063
7924.800353898284,CAF_12,Lomako-Yokokala,2005,outside,0.6094967531609032
7924.800353898284,CAF_12,Lomako-Yokokala,2006,total,2.4017544252199654
7924.800353898284,CAF_12,Lomako-Yokokala,2006,inside,0.8037182467969708
7924.800353898284,CAF_12,Lomako-Yokokala,2006,outside,1.5980361784229946
7924.800353898284,CAF_12,Lomako-Yokokala,2007,total,1.8415077966471365
7924.800353898284,CAF_12,Lomako-Yokokala,2007,inside,0.4406859594726561
7924.800353898284,CAF_12,Lomako-Yokokala,2007,outside,1.4008218371744805
7924.800353898284,CAF_12,Lomako-Yokokala,2008,total,1.128492741224102
7924.800353898284,CAF_12,Lomako-Yokokala,2008,inside,0.14123467791748046
7924.800353898284,CAF_12,Lomako-Yokokala,2008,outside,0.9872580633066215
7924.800353898284,CAF_12,Lomako-Yokokala,2009,total,2.580695516741585
7924.800353898284,CAF_12,Lomako-Yokokala,2009,inside,0.742906780143948
7924.800353898284,CAF_12,Lomako-Yokokala,2009,outside,1.837788736597637
7924.800353898284,CAF_12,Lomako-Yokokala,2010,total,3.7595500565018014
7924.800353898284,CAF_12,Lomako-Yokokala,2010,inside,0.5211421361694338
7924.800353898284,CAF_12,Lomako-Yokokala,2010,outside,3.2384079203323677
7924.800353898284,CAF_12,Lomako-Yokokala,2011,total,1.060133542317469
7924.800353898284,CAF_12,Lomako-Yokokala,2011,inside,0.2985578565063474
7924.800353898284,CAF_12,Lomako-Yokokala,2011,outside,0.7615756858111216
7924.800353898284,CAF_12,Lomako-Yokokala,2012,total,1.1719186894763427
7924.800353898284,CAF_12,Lomako-Yokokala,2012,inside,0.20217656313332955
7924.800353898284,CAF_12,Lomako-Yokokala,2012,outside,0.9697421263430132
7924.800353898284,CAF_12,Lomako-Yokokala,2013,total,4.419014806231566
7924.800353898284,CAF_12,Lomako-Yokokala,2013,inside,0.6052993340942382
7924.800353898284,CAF_12,Lomako-Yokokala,2013,outside,3.8137154721373276
7924.800353898284,CAF_12,Lomako-Yokokala,2014,total,5.887452688431086
7924.800353898284,CAF_12,Lomako-Yokokala,2014,inside,0.6786729339381796
7924.800353898284,CAF_12,Lomako-Yokokala,2014,outside,5.208779754492906
7924.800353898284,CAF_12,Lomako-Yokokala,2015,total,6.26478239758803
7924.800353898284,CAF_12,Lomako-Yokokala,2015,inside,0.41298354400634724
7924.800353898284,CAF_12,Lomako-Yokokala,2015,outside,5.851798853581683
7924.800353898284,CAF_12,Lomako-Yokokala,2016,total,7.061020140574978
7924.800353898284,CAF_12,Lomako-Yokokala,2016,inside,0.6803355412935149
7924.800353898284,CAF_12,Lomako-Yokokala,2016,outside,6.380684599281463
7924.800353898284,CAF_12,Lomako-Yokokala,2017,total,9.23933848340467
7924.800353898284,CAF_12,Lomako-Yokokala,2017,inside,1.5348272762451218
7924.800353898284,CAF_12,Lomako-Yokokala,2017,outside,7.704511207159547
7924.800353898284,CAF_12,Lomako-Yokokala,2018,total,12.37398300238661
7924.800353898284,CAF_12,Lomako-Yokokala,2018,inside,1.3873380036010736
7924.800353898284,CAF_12,Lomako-Yokokala,2018,outside,10.986644998785538
7924.800353898284,CAF_12,Lomako-Yokokala,2019,total,9.899397108509264
7924.800353898284,CAF_12,Lomako-Yokokala,2019,inside,0.8108456985758483
7924.800353898284,CAF_12,Lomako-Yokokala,2019,outside,9.088551409933416
7924.800353898284,CAF_12,Lomako-Yokokala,2020,total,6.76411891623296
7924.800353898284,CAF_12,Lomako-Yokokala,2020,inside,0.3812228377508424
7924.800353898284,CAF_12,Lomako-Yokokala,2020,outside,6.382896078482117
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2001,total,1.004756374552409
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2001,inside,0.9573683700724285
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2001,outside,0.047388004479980594
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2002,total,2.5550186069462812
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2002,inside,2.3496982907841715
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2002,outside,0.20532031616210977
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2003,total,0.24049026416015626
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2003,inside,0.21040426416015626
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2003,outside,0.030086
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2004,total,0.1051187579956055
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2004,inside,0.09224364141845702
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2004,outside,0.012875116577148474
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2005,total,0.3046604943237305
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2005,inside,0.23339227807617188
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2005,outside,0.07126821624755861
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2006,total,0.23085580450439455
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2006,inside,0.19823026989746093
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2006,outside,0.032625534606933626
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2007,total,0.08099572344970703
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2007,inside,0.07067859100341796
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2007,outside,0.010317132446289068
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2008,total,0.3912242779160444
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2008,inside,0.33458136220559515
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2008,outside,0.05664291571044927
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2009,total,1.7650680996704198
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2009,inside,1.6105086119995213
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2009,outside,0.15455948767089844
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2010,total,0.07320380389404296
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2010,inside,0.06805578088378905
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2010,outside,0.00514802301025391
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2011,total,0.24118364318847663
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2011,inside,0.20768783050537115
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2011,outside,0.033495812683105475
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2012,total,0.13858175177001955
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2012,inside,0.1024978251953125
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2012,outside,0.03608392657470705
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2013,total,0.029285825256347663
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2013,inside,0.029285825256347663
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2013,outside,0
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2014,total,0.04609549482709101
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2014,inside,0.043495946223000924
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2014,outside,0.0025995486040900836
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2015,total,0.007752558227539062
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2015,inside,0.007752558227539062
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2015,outside,0
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2016,total,0.014648784057617189
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2016,inside,0.014648784057617189
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2016,outside,0
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2017,total,0.07924427691650392
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2017,inside,0.07752791168212891
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2017,outside,0.001716365234375003
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2018,total,0.038762527465820325
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2018,inside,0.03876252746582032
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2018,outside,6.938893903907228e-18
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2019,total,0.023258949157714846
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2019,inside,0.023258949157714846
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2019,outside,0
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2020,total,0.0473957886352539
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2020,inside,0.04653719201660156
17789.458137241363,SAF_04,Lower Zambezi - Mana pools,2020,outside,8.585966186523408e-4
31797.931521737883,SAF_13,Etosha Pan,2001,total,0
31797.931521737883,SAF_13,Etosha Pan,2001,inside,0
31797.931521737883,SAF_13,Etosha Pan,2001,outside,0
31797.931521737883,SAF_13,Etosha Pan,2002,total,0
31797.931521737883,SAF_13,Etosha Pan,2002,inside,0
31797.931521737883,SAF_13,Etosha Pan,2002,outside,0
31797.931521737883,SAF_13,Etosha Pan,2003,total,0
31797.931521737883,SAF_13,Etosha Pan,2003,inside,0
31797.931521737883,SAF_13,Etosha Pan,2003,outside,0
31797.931521737883,SAF_13,Etosha Pan,2004,total,0
31797.931521737883,SAF_13,Etosha Pan,2004,inside,0
31797.931521737883,SAF_13,Etosha Pan,2004,outside,0
31797.931521737883,SAF_13,Etosha Pan,2005,total,0
31797.931521737883,SAF_13,Etosha Pan,2005,inside,0
31797.931521737883,SAF_13,Etosha Pan,2005,outside,0
31797.931521737883,SAF_13,Etosha Pan,2006,total,0
31797.931521737883,SAF_13,Etosha Pan,2006,inside,0
31797.931521737883,SAF_13,Etosha Pan,2006,outside,0
31797.931521737883,SAF_13,Etosha Pan,2007,total,0
31797.931521737883,SAF_13,Etosha Pan,2007,inside,0
31797.931521737883,SAF_13,Etosha Pan,2007,outside,0
31797.931521737883,SAF_13,Etosha Pan,2008,total,0
31797.931521737883,SAF_13,Etosha Pan,2008,inside,0
31797.931521737883,SAF_13,Etosha Pan,2008,outside,0
31797.931521737883,SAF_13,Etosha Pan,2009,total,0
31797.931521737883,SAF_13,Etosha Pan,2009,inside,0
31797.931521737883,SAF_13,Etosha Pan,2009,outside,0
31797.931521737883,SAF_13,Etosha Pan,2010,total,0
31797.931521737883,SAF_13,Etosha Pan,2010,inside,0
31797.931521737883,SAF_13,Etosha Pan,2010,outside,0
31797.931521737883,SAF_13,Etosha Pan,2011,total,0
31797.931521737883,SAF_13,Etosha Pan,2011,inside,0
31797.931521737883,SAF_13,Etosha Pan,2011,outside,0
31797.931521737883,SAF_13,Etosha Pan,2012,total,0
31797.931521737883,SAF_13,Etosha Pan,2012,inside,0
31797.931521737883,SAF_13,Etosha Pan,2012,outside,0
31797.931521737883,SAF_13,Etosha Pan,2013,total,0
31797.931521737883,SAF_13,Etosha Pan,2013,inside,0
31797.931521737883,SAF_13,Etosha Pan,2013,outside,0
31797.931521737883,SAF_13,Etosha Pan,2014,total,0
31797.931521737883,SAF_13,Etosha Pan,2014,inside,0
31797.931521737883,SAF_13,Etosha Pan,2014,outside,0
31797.931521737883,SAF_13,Etosha Pan,2015,total,0
31797.931521737883,SAF_13,Etosha Pan,2015,inside,0
31797.931521737883,SAF_13,Etosha Pan,2015,outside,0
31797.931521737883,SAF_13,Etosha Pan,2016,total,0
31797.931521737883,SAF_13,Etosha Pan,2016,inside,0
31797.931521737883,SAF_13,Etosha Pan,2016,outside,0
31797.931521737883,SAF_13,Etosha Pan,2017,total,0
31797.931521737883,SAF_13,Etosha Pan,2017,inside,0
31797.931521737883,SAF_13,Etosha Pan,2017,outside,0
31797.931521737883,SAF_13,Etosha Pan,2018,total,0
31797.931521737883,SAF_13,Etosha Pan,2018,inside,0
31797.931521737883,SAF_13,Etosha Pan,2018,outside,0
31797.931521737883,SAF_13,Etosha Pan,2019,total,0
31797.931521737883,SAF_13,Etosha Pan,2019,inside,0
31797.931521737883,SAF_13,Etosha Pan,2019,outside,0
31797.931521737883,SAF_13,Etosha Pan,2020,total,0
31797.931521737883,SAF_13,Etosha Pan,2020,inside,0
31797.931521737883,SAF_13,Etosha Pan,2020,outside,0
39064.7245308365,CAF_02,Greater Virunga,2001,total,121.33531626258473
39064.7245308365,CAF_02,Greater Virunga,2001,inside,21.42762661629464
39064.7245308365,CAF_02,Greater Virunga,2001,outside,99.9076896462901
39064.7245308365,CAF_02,Greater Virunga,2002,total,31.08366178475441
39064.7245308365,CAF_02,Greater Virunga,2002,inside,9.149112384458528
39064.7245308365,CAF_02,Greater Virunga,2002,outside,21.93454940029588
39064.7245308365,CAF_02,Greater Virunga,2003,total,39.7764826267301
39064.7245308365,CAF_02,Greater Virunga,2003,inside,10.338594013545745
39064.7245308365,CAF_02,Greater Virunga,2003,outside,29.437888613184356
39064.7245308365,CAF_02,Greater Virunga,2004,total,84.05803998545542
39064.7245308365,CAF_02,Greater Virunga,2004,inside,21.384754501180566
39064.7245308365,CAF_02,Greater Virunga,2004,outside,62.67328548427486
39064.7245308365,CAF_02,Greater Virunga,2005,total,95.29452724061034
39064.7245308365,CAF_02,Greater Virunga,2005,inside,22.300086042958682
39064.7245308365,CAF_02,Greater Virunga,2005,outside,72.99444119765165
39064.7245308365,CAF_02,Greater Virunga,2006,total,59.922083942195286
39064.7245308365,CAF_02,Greater Virunga,2006,inside,11.339508962351122
39064.7245308365,CAF_02,Greater Virunga,2006,outside,48.58257497984417
39064.7245308365,CAF_02,Greater Virunga,2007,total,89.55534840733246
39064.7245308365,CAF_02,Greater Virunga,2007,inside,13.329436616977596
39064.7245308365,CAF_02,Greater Virunga,2007,outside,76.22591179035487
39064.7245308365,CAF_02,Greater Virunga,2008,total,53.33600128867571
39064.7245308365,CAF_02,Greater Virunga,2008,inside,9.517822757645668
