area_km2,klc_id,klc_name,year,pa,area_loss
83454.2730907719,SAF_02,Great Limpopo,2018,total,0.16428923577880855
83454.2730907719,SAF_02,Great Limpopo,2018,inside,0.10029086193847654
83454.2730907719,SAF_02,Great Limpopo,2018,outside,0.06399837384033201
83454.2730907719,SAF_02,Great Limpopo,2019,total,0.11095646313476562
83454.2730907719,SAF_02,Great Limpopo,2019,inside,0.04133005407714843
83454.2730907719,SAF_02,Great Limpopo,2019,outside,0.06962640905761719
83454.2730907719,SAF_02,Great Limpopo,2020,total,0.2600130939941407
83454.2730907719,SAF_02,Great Limpopo,2020,inside,0.05390694360351563
83454.2730907719,SAF_02,Great Limpopo,2020,outside,0.20610615039062505
516404.4508008232,SAF_01,Kavango Zambezi,2001,total,3.863401747131349
516404.4508008232,SAF_01,Kavango Zambezi,2001,inside,1.9780756344405837
516404.4508008232,SAF_01,Kavango Zambezi,2001,outside,1.8853261126907652
516404.4508008232,SAF_01,Kavango Zambezi,2002,total,5.04623456433321
516404.4508008232,SAF_01,Kavango Zambezi,2002,inside,2.365791241057992
516404.4508008232,SAF_01,Kavango Zambezi,2002,outside,2.6804433232752176
516404.4508008232,SAF_01,Kavango Zambezi,2003,total,3.6061113625720465
516404.4508008232,SAF_01,Kavango Zambezi,2003,inside,2.4100477841028565
516404.4508008232,SAF_01,Kavango Zambezi,2003,outside,1.19606357846919
516404.4508008232,SAF_01,Kavango Zambezi,2004,total,3.1671244184900607
516404.4508008232,SAF_01,Kavango Zambezi,2004,inside,1.5350328955494592
516404.4508008232,SAF_01,Kavango Zambezi,2004,outside,1.6320915229406014
516404.4508008232,SAF_01,Kavango Zambezi,2005,total,5.0546042651575425
516404.4508008232,SAF_01,Kavango Zambezi,2005,inside,2.5989857454800473
516404.4508008232,SAF_01,Kavango Zambezi,2005,outside,2.455618519677495
516404.4508008232,SAF_01,Kavango Zambezi,2006,total,2.991352398559571
516404.4508008232,SAF_01,Kavango Zambezi,2006,inside,2.311975291182454
516404.4508008232,SAF_01,Kavango Zambezi,2006,outside,0.6793771073771171
516404.4508008232,SAF_01,Kavango Zambezi,2007,total,8.585271272937959
516404.4508008232,SAF_01,Kavango Zambezi,2007,inside,3.817520144593482
516404.4508008232,SAF_01,Kavango Zambezi,2007,outside,4.767751128344477
516404.4508008232,SAF_01,Kavango Zambezi,2008,total,5.064808078859815
516404.4508008232,SAF_01,Kavango Zambezi,2008,inside,3.432871539572563
516404.4508008232,SAF_01,Kavango Zambezi,2008,outside,1.6319365392872518
516404.4508008232,SAF_01,Kavango Zambezi,2009,total,13.319249251851884
516404.4508008232,SAF_01,Kavango Zambezi,2009,inside,6.623417084691427
516404.4508008232,SAF_01,Kavango Zambezi,2009,outside,6.695832167160457
516404.4508008232,SAF_01,Kavango Zambezi,2010,total,4.424080772516464
516404.4508008232,SAF_01,Kavango Zambezi,2010,inside,2.3361245037870484
516404.4508008232,SAF_01,Kavango Zambezi,2010,outside,2.0879562687294158
516404.4508008232,SAF_01,Kavango Zambezi,2011,total,10.201581587205842
516404.4508008232,SAF_01,Kavango Zambezi,2011,inside,6.992475510221358
516404.4508008232,SAF_01,Kavango Zambezi,2011,outside,3.209106076984484
516404.4508008232,SAF_01,Kavango Zambezi,2012,total,9.420878392864129
516404.4508008232,SAF_01,Kavango Zambezi,2012,inside,7.735504291054858
516404.4508008232,SAF_01,Kavango Zambezi,2012,outside,1.6853741018092707
516404.4508008232,SAF_01,Kavango Zambezi,2013,total,9.398817384738567
516404.4508008232,SAF_01,Kavango Zambezi,2013,inside,8.561000735670135
516404.4508008232,SAF_01,Kavango Zambezi,2013,outside,0.8378166490684329
516404.4508008232,SAF_01,Kavango Zambezi,2014,total,6.524389845003969
516404.4508008232,SAF_01,Kavango Zambezi,2014,inside,4.6709639235308416
516404.4508008232,SAF_01,Kavango Zambezi,2014,outside,1.8534259214731277
516404.4508008232,SAF_01,Kavango Zambezi,2015,total,3.0943444949790804
516404.4508008232,SAF_01,Kavango Zambezi,2015,inside,2.0065408300829115
516404.4508008232,SAF_01,Kavango Zambezi,2015,outside,1.0878036648961689
516404.4508008232,SAF_01,Kavango Zambezi,2016,total,8.448526864622085
516404.4508008232,SAF_01,Kavango Zambezi,2016,inside,5.01267156836605
516404.4508008232,SAF_01,Kavango Zambezi,2016,outside,3.435855296256035
516404.4508008232,SAF_01,Kavango Zambezi,2017,total,8.812536883105226
516404.4508008232,SAF_01,Kavango Zambezi,2017,inside,6.527368881922344
516404.4508008232,SAF_01,Kavango Zambezi,2017,outside,2.285168001182882
516404.4508008232,SAF_01,Kavango Zambezi,2018,total,7.6237388096703445
516404.4508008232,SAF_01,Kavango Zambezi,2018,inside,6.17850468112337
516404.4508008232,SAF_01,Kavango Zambezi,2018,outside,1.445234128546974
516404.4508008232,SAF_01,Kavango Zambezi,2019,total,7.235786893287071
516404.4508008232,SAF_01,Kavango Zambezi,2019,inside,6.40939698333523
516404.4508008232,SAF_01,Kavango Zambezi,2019,outside,0.8263899099518408
516404.4508008232,SAF_01,Kavango Zambezi,2020,total,14.924824452049537
516404.4508008232,SAF_01,Kavango Zambezi,2020,inside,13.3009813935089
516404.4508008232,SAF_01,Kavango Zambezi,2020,outside,1.6238430585406363
35510.52964138696,SAF_03,Kgalagadi TFNP,2001,total,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2001,inside,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2001,outside,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2002,total,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2002,inside,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2002,outside,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2003,total,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2003,inside,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2003,outside,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2004,total,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2004,inside,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2004,outside,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2005,total,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2005,inside,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2005,outside,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2006,total,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2006,inside,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2006,outside,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2007,total,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2007,inside,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2007,outside,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2008,total,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2008,inside,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2008,outside,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2009,total,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2009,inside,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2009,outside,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2010,total,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2010,inside,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2010,outside,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2011,total,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2011,inside,0
35510.52964138696,SAF_03,Kgalagadi TFNP,2011,outside,0
