CAF_01|NG|NGA|Nigeria|33476.5165815805|3.0611215784076|61.3300272367403
CAF_01|CM|CMR|Cameroon|21466.2789196356|4.44065541895299|39.3268955449535
CAF_02|CD|COD|Congo (Democratic Republic of the)|21727.5192819874|0.921371957004054|55.6192819556077
CAF_02|UG|UGA|Uganda|16250.9878765617|6.68435945627449|41.6001599185313
CAF_02|RW|RWA|Rwanda|1385.58422031643|5.42108781363128|3.54689361555
CAF_03|CG|COG|Congo|100130.456954538|26.5683874870038|40.0958871741177
CAF_03|GA|GAB|Gabon|76661.0252074287|16.380614069569|30.6978706665131
CAF_03|CM|CMR|Cameroon|66901.9823897555|13.8397833993488|26.7899939659956
CAF_03|CF|CAF|Central African Republic|7713.4580438457|1.23682398098569|3.08874994537127
CAF_04_SAF_11|GA|GAB|Gabon|36237.3634896743|7.7430514999886|49.6779605042954
CAF_04_SAF_11|CG|COG|Congo|18305.7977886193|4.85721870946415|25.095498457049
CAF_04_SAF_11|CD|COD|Congo (Democratic Republic of the)|13698.5502886403|0.580897428912947|18.7794026571245
CAF_04_SAF_11|AO|AGO|Angola|5190.02974835806|0.296023159690783|7.11503453965457
CAF_05|CF|CAF|Central African Republic|100774.257853425|16.1587731560422|34.1216451825983
CAF_05|CD|COD|Congo (Democratic Republic of the)|100298.828615591|4.25324800348348|33.9606672889541
CAF_05|SS|SSD|South Sudan|96219.7128945797|15.1785322741258|32.579499694611
CAF_06_18|CF|CAF|Central African Republic|107119.797178956|17.1762565163576|56.4037618510828
CAF_06_18|TD|TCD|Chad|81031.4826253597|6.36813852584311|42.6670005807183
CAF_06_18|SD|SDN|Sudan|2978.514721313|0.155381235090224|1.56833227316721
CAF_07|CD|COD|Congo (Democratic Republic of the)|67083.5550127222|2.84472909965851|100.687762993766
CAF_08|CD|COD|Congo (Democratic Republic of the)|27101.7099634772|1.1492685945011|100.675736246436
CAF_09|CD|COD|Congo (Democratic Republic of the)|14013.5277859611|0.594254288909353|100.67204430731
CAF_10|CD|COD|Congo (Democratic Republic of the)|30293.836612417|1.28463314944027|100.67254582225
CAF_11|CD|COD|Congo (Democratic Republic of the)|47619.3017586501|2.01933265749797|100.6365743459
CAF_12|CD|COD|Congo (Democratic Republic of the)|7978.17810013586|0.338320701689267|100.673553198237
CAF_13|CD|COD|Congo (Democratic Republic of the)|52733.7369809534|2.23621416746633|100.471101500134
CAF_13|CG|COG|Congo|105.556007167915|0.0280079906285799|0.201110881141363
CAF_14|CD|COD|Congo (Democratic Republic of the)|10511.910982536|0.445765568914304|100.669062935614
CAF_15|CD|COD|Congo (Democratic Republic of the)|31132.5136167347|1.32019788477585|100.672290106885
CAF_16|CM|CMR|Cameroon|11586.7630644492|2.39691389378183|100.659934874007
CAF_17|CM|CMR|Cameroon|48255.429380599|9.98243499840342|96.3075662549289
CAF_17|TD|TCD|Chad|2075.95241940356|0.163145880483787|4.14315917897872
CAF_17|NG|NGA|Nigeria|97.9644854398171|0.00895795712694977|0.195516261967372
CAF_19|GA|GAB|Gabon|7901.25798495799|1.68830846398797|73.2800798717527
CAF_19|GQ|GNQ|Equatorial Guinea|2953.53742281481|0.886278611752591|27.392531500695
CAF_20|ST|STP|Sao Tome and Principe|22769.8956088188|17.1547955830412|57.2948065175712
CAF_20|GQ|GNQ|Equatorial Guinea|17238.8365510535|5.17291977026543|43.3772653923856
EAF_01|TZ|TZA|Tanzania, United Republic of|35350.6368839294|2.97116811155364|77.5645931276996
EAF_01|KE|KEN|Kenya|10531.1801228363|1.50162197567226|23.1069868433871
EAF_02|KE|KEN|Kenya|8121.91134965036|1.15808868757742|70.1429798313294
EAF_02|TZ|TZA|Tanzania, United Republic of|3533.59717721598|0.296993553086251|30.5170821082864
EAF_03|KE|KEN|Kenya|42916.7763669284|6.11942572113514|79.9610787623638
EAF_03|TZ|TZA|Tanzania, United Republic of|11109.4138202987|0.93372960123189|20.6986821632096
EAF_04|TZ|TZA|Tanzania, United Republic of|107232.903305267|9.01276499928534|77.0539916028442
EAF_04|MZ|MOZ|Mozambique|32824.5043468995|2.41448952379982|23.5865951993606
EAF_05|ET|ETH|Ethiopia|6548.04839727539|0.576291171064354|100.603439700404
EAF_06|KE|KEN|Kenya|5562.58371349902|0.793158776915602|100.666145950176
EAF_07|KE|KEN|Kenya|50931.6627324256|7.26225390929314|100.673110442946
EAF_08|SS|SSD|South Sudan|113471.729610829|17.9000150622551|90.9351083401459
EAF_08|ET|ETH|Ethiopia|12052.9253772943|1.06077323486528|9.65909375629499
EAF_08|SD|SDN|Sudan|30.0069724702924|0.00156538438785928|0.0240472873895932
EAF_09|ET|ETH|Ethiopia|15759.4894810051|1.38698648778524|100.654647369927
EAF_10|TZ|TZA|Tanzania, United Republic of|43195.1912673059|3.63049116448093|100.509358644185
EAF_10|KE|KEN|Kenya|64.1283270042583|0.00914394246128953|0.149217929797689
EAF_11|TZ|TZA|Tanzania, United Republic of|65341.960134596|5.49189393491744|100.6505829648
EAF_12|TZ|TZA|Tanzania, United Republic of|29835.0181645598|2.50758861485922|100.665010948106
EAF_13|RW|RWA|Rwanda|2003.9090636831|7.84027910066471|58.3142706102935
EAF_13|BI|BDI|Burundi|1455.54245130674|5.38353247397542|42.3566607529921
EAF_14|SS|SSD|South Sudan|6525.80448226616|1.02943701419308|52.4605775389489
EAF_14|UG|UGA|Uganda|5991.58115693713|2.46445831284949|48.1659860816507
EAF_14|KE|KEN|Kenya|5.13868265328671|0.000732715489449151|0.0413095826749601
