klc_id,pa,year,bare,crops,grass,moss,shrub,snow,tree,urban,water_permanent,water_seasonal
SAF_02,total,2015,604.2532260735138,2335.198563113646,27225.540718939235,0,32707.92929283529,0,20431.132625960076,51.21293054864249,75.77730327321999,132.0196761549612
SAF_02,outside,2015,88.9321634192105,455.92103954575964,7348.82706426048,0,10211.019520968573,0,7214.131009781389,22.673683062613126,7.587093039640024,39.03012447871261
SAF_02,inside,2015,515.3210626543033,1879.2775235678862,19876.713654678755,0,22496.909771866718,0,13217.001616178686,28.539247486029364,68.19021023357996,92.98955167624858
SAF_02,total,2016,455.8075230405475,2493.3364494686557,27826.812925406473,0,32368.75664269583,0,20169.041272656745,53.883980973854094,63.40586650155268,149.45368408593788
SAF_02,outside,2016,62.14200090701121,513.7992962283095,7333.221570656777,0,10147.40903581481,0,7262.784577408016,23.8424543198038,5.892638742944982,39.41101416881534
SAF_02,inside,2016,393.6655221335363,1979.5371532403462,20493.591354749697,0,22221.34760688102,0,12906.256695248729,30.041526654050294,57.5132277586077,110.04266991712254
SAF_02,total,2017,534.1557958527459,3727.941789862135,30203.983219906895,0,27363.874905089677,0,21466.533090617213,53.860853522825636,80.69500589216733,277.39865051644847
SAF_02,outside,2017,68.61629572192766,1037.2852132162461,7916.950095836633,0,8341.866385257206,0,7953.046950795462,23.584201386813696,7.7424318633885605,74.6911542270858
SAF_02,inside,2017,465.5395001308182,2690.656576645889,22287.03312407026,0,19022.00851983247,0,13513.48613982175,30.27665213601194,72.95257402877877,202.70749628936267
SAF_02,total,2018,359.22046400818635,3280.206868582376,25876.983757762337,0,30183.101475047835,0,23600.63766608287,54.08228009681106,76.81214916324993,175.1999864095074
SAF_02,outside,2018,50.21752122906594,731.3028452398421,6782.290832212981,0,9194.677061862607,0,8559.882951767762,23.689801823468365,7.030559941949136,59.798295677565505
SAF_02,inside,2018,309.0029427791204,2548.904023342534,19094.692925549356,0,20988.42441318523,0,15040.754714315106,30.392478273342697,69.78158922130079,115.4016907319419
SAF_02,total,2019,387.23687434487874,6450.809243061021,24288.93372308445,0,30858.714697251446,0,21326.607947634988,52.01163808181386,66.73053728503191,145.67518543500483
SAF_02,outside,2019,74.22111464072879,1117.2802890098264,6576.428814812298,0,9742.578989785616,0,7809.057881839188,22.88945940955141,6.635024580451066,45.896039538824866
SAF_02,inside,2019,313.01575970414996,5333.528954051195,17712.504908272153,0,21116.13570746583,0,13517.5500657958,29.122178672262446,60.09551270458085,99.77914589617997
SAF_01,total,2015,6998.8254261487255,13391.681686010628,196372.64500222297,1.3840283323734184,184105.1115146121,0,111460.3680781774,624.5840748566379,3448.7679848667212,4095.254749757896
SAF_01,outside,2015,5274.649056959828,4849.977982646606,88422.79785660168,0.2653481590327025,83320.872166897,0,46176.31477130464,301.1550562885358,272.02191330253845,2372.050788470675
SAF_01,inside,2015,1724.1763691888973,8541.703703364023,107949.84714562129,1.118680173340716,100784.2393477151,0,65284.05330687276,323.42901856810215,3176.746071564183,1723.2039612872215
SAF_01,total,2016,7547.082877512803,15079.216324726038,196864.0581510099,0.12987505403725663,177606.12871016492,0,115446.56698853697,638.674801892942,3218.2791710946594,5937.227033460244
SAF_01,outside,2016,5618.319381842791,5513.627711363453,88815.56241803325,0.09282984098535962,80450.20352392699,0,47671.13199130584,307.14288928196396,241.52242084625823,3502.547120354692
SAF_01,inside,2016,1928.7634956700124,9565.588613362585,108048.49573297665,0.03704521305189701,97155.92518623793,0,67775.43499723113,331.53191261097805,2976.756750248401,2434.6799131055513
SAF_01,total,2017,8732.735170213378,19622.966319333784,195124.93684664223,1.7213094156322768,167949.25584348326,0,120672.69136457311,647.0416080870375,3652.2629456557606,7713.461237458075
SAF_01,outside,2017,6191.139223220778,7355.660126645245,87973.86644392618,0.3863011610853446,76539.85063471209,0,49924.6228830187,306.8164834314259,325.8421143659293,5018.341524285954
SAF_01,inside,2017,2541.5959469926006,12267.306192688538,107151.07040271605,1.3350082545469322,91409.40520877118,0,70748.06848155441,340.2251246556116,3326.4208312898313,2695.119713172121
SAF_01,total,2018,7575.892259752398,18195.968851142516,196754.19082309562,1.7671527620841516,165897.966872334,0,123696.16020774642,647.0124220675839,3634.107667905342,7570.741375369229
SAF_01,outside,2018,5776.962375862411,6755.833675937654,88764.76687049726,0.3868850412785405,75475.48807552102,0,51272.596876371856,310.19685973300557,261.43358566521374,4499.656232678656
SAF_01,inside,2018,1798.9298838899872,11440.135175204861,107989.42395259836,1.380267720805611,90422.47879681297,0,72423.56333137456,336.8155623345783,3372.6740822401284,3071.085142690573
SAF_01,total,2019,9124.579225669886,23192.79883097265,194593.83472632506,1.840991784883954,164092.9553079022,0,121573.19598551618,646.5821775737546,3177.9106643001332,3660.8418651085512
SAF_01,outside,2019,6420.0390994297,8521.971162292557,87520.934819809685,0.41631499209153633,75330.82517011433,0,50274.64521633927,308.5358275954933,240.9031025487875,2554.7569585016986
SAF_01,inside,2019,2704.5401262401856,14670.827668680093,107072.89990651538,1.4246767927924178,88762.13013778786,0,71298.55076917692,338.04634997826133,2937.0075617513457,1106.0849066068527
SAF_03,total,2015,2849.175789197937,11.969499950984712,23582.174823227826,0,7493.692591370093,0,1568.229908050941,5.226662993112289,0,0.006736010887834709
SAF_03,outside,2015,5.355857149201711,0.022798115076319903,50.63798136891637,0,17.61431137607542,0,4.185202570990441,0.4656660011032461,0,0
SAF_03,inside,2015,2843.819932048735,11.946701835908392,23531.53684185891,0,7476.078279994018,0,1564.0447054799506,4.760996992009043,0,0.006736010887834709
